,precision,recall,f1-score,support
AMAZON,0.6773255813953488,0.699,0.687992125984252,1000.0
GMAIL,0.6290480863591756,0.641,0.6349678058444774,1000.0
GOOGLE,0.4249767008387698,0.456,0.4399421128798842,1000.0
HTTP,0.7311725452812202,0.767,0.7486578818936066,1000.0
HTTP_CONNECT,0.6129629629629629,0.662,0.6365384615384615,1000.0
HTTP_PROXY,0.5943600867678959,0.548,0.5702393340270552,1000.0
MICROSOFT,0.7368421052631579,0.686,0.7105126877265665,1000.0
SSL,0.7609603340292276,0.729,0.7446373850868233,1000.0
WINDOWS_UPDATE,0.9408033826638478,0.89,0.9146968139773896,1000.0
YOUTUBE,0.5818181818181818,0.576,0.578894472361809,1000.0
accuracy,0.6654,0.6654,0.6654,0.6654
macro avg,0.6690269967379788,0.6653999999999999,0.6667079081320325,10000.0
weighted avg,0.6690269967379788,0.6654,0.6667079081320325,10000.0
