,accuracy,precision_weighted,recall_weighted,f1_weighted
Raw_DecisionTree,0.6654,0.6690269967379788,0.6654,0.6667079081320325
Raw_KNN,0.6166,0.6118135161583368,0.6166,0.613211922110488
Raw_RandomForest,0.7247,0.7231034838950743,0.7247,0.7232479937562014
Raw_MLP,0.5872,0.5881945206097473,0.5872,0.5830442845966458
TCG_DecisionTree,0.4867,0.4945415773032837,0.4867,0.4883261099718393
TCG_KNN,0.321,0.3161662536667807,0.321,0.31758019969011875
TCG_RandomForest,0.4999,0.5101854447326749,0.4999,0.4971835710788502
TCG_MLP,0.3289,0.3047535484160839,0.3289,0.279343166963924
Raw+TCG_DecisionTree,0.713,0.711396169753355,0.713,0.7115254184758548
Raw+TCG_KNN,0.5324,0.5269660773854964,0.5324,0.5286727373971088
Raw+TCG_RandomForest,0.775,0.7745265960911644,0.775,0.7736295640473925
Raw+TCG_MLP,0.6152,0.6152332533759146,0.6152,0.611826952214119
